2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Boston-Joseph Lee,00350183,  92.8,  12.4,  47.4,  25.8,  38.4
Boston-Joseph P Manning,00350184,  94.2,  10.1,  46.4,  11.9,  13.9
Boston-Joyce Kilmer,00350190,  94.7,   9.3,  39.9,  11.0,  21.7
Boston-Harvard-Kent,00350200,  94.8,   8.9,  35.8,  14.8,  25.2
Boston-Manassah E Bradley,00350215,  94.5,   9.6,  41.4,  15.5,  22.4
Boston-William Ellery Channing,00350360,  94.3,   9.6,  36.8,  17.0,  26.5
Boston-William McKinley,00350363,  71.4,  47.1,  84.5,  70.2,  70.5
Boston Collegiate Charter (District)-Boston Collegiate Charter School,04490305,  94.3,  10.3,  41.7,  11.7,  20.2
Boston Day and Evening Academy Charter (District)-Boston Day and Evening Academy Charter School,04240505,  60.4,  53.9,  91.3,  90.5,   0.0
Boston Green Academy Horace Mann Charter School (District)-Boston Green Academy Horace Mann Charter School,04110305,  91.5,  14.5,  53.0,  30.7,  42.9
Boston Preparatory Charter Public (District)-Boston Preparatory Charter Public School,04160305,  93.8,  11.2,  40.3,  17.7,  34.5
Boston Renaissance Charter Public (District)-Boston Renaissance Charter Public School,04810550,  93.8,  10.9,  44.3,  19.2,  38.7
Bourne-Bourne High School,00360505,  93.6,  11.0,  37.1,  15.7,   0.0
Bourne-Bourne Middle School,00360325,  94.7,   9.2,  37.8,  10.8,   0.0
Bourne-Peebles Elementary School,00360010,  95.6,   7.7,  31.1,   6.8,   0.0
Bourne-Bournedale Elementary School,00360005,  95.3,   8.2,  29.8,   9.8,   0.0
Boxford-Harry Lee Cole,00380005,  96.3,   6.6,  20.5,   4.7,   0.0
Boxford-Spofford Pond,00380013,  96.7,   5.9,  17.7,   2.3,   0.0
Boylston-Boylston Elementary,00390005,  96.7,   5.7,  19.9,   1.0,  10.5
Braintree-Hollis,00400005,  96.6,   5.9,  21.1,   4.2,   0.0
Braintree-Monatiquot Kindergarten Center,00400009,  94.8,   8.9,  33.7,  12.4,   0.0
Braintree-Highlands,00400015,  96.4,   6.4,  21.6,   5.1,   0.0
Braintree-Mary E Flaherty School,00400020,  96.5,   6.1,  18.2,   5.2,   0.0
Braintree-Braintree High,00400505,  95.4,   8.0,  30.1,  10.9,   0.0
