2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Peabody-Center,02290015,  95.4,   7.8,  29.2,   9.3,  28.9
Peabody-Thomas Carroll,02290010,  94.9,   8.9,  36.2,  11.9,  35.9
Peabody-Captain Samuel Brown,02290005,  95.8,   7.4,  22.6,   8.3,  22.6
Peabody-John E. McCarthy,02290016,  94.2,   9.6,  38.3,  13.0,  34.6
Peabody-William A Welch Sr,02290027,  94.3,   9.6,  38.1,  13.4,  37.8
Peabody-South Memorial,02290035,  95.4,   8.1,  31.5,   9.2,  31.5
Peabody-West Memorial,02290045,  95.5,   8.0,  30.8,   6.7,  30.8
Peabody-Peabody Veterans Memorial High,02290510,  90.2,  16.5,  54.7,  33.4,  49.9
Peabody-J Henry Higgins Middle,02290305,  93.9,  10.7,  41.7,  19.0,  37.9
Pelham-Pelham Elementary,02300005,  96.2,   6.8,  28.3,   3.1,   0.8
Pembroke-Pembroke High School,02310505,  89.8,  18.1,  91.1,  38.7,   0.5
Pembroke-Pembroke Community Middle School,02310305,  95.4,   8.3,  29.9,   7.6,   0.0
Pembroke-Bryantville Elementary,02310003,  92.7,  12.9,  51.7,  22.5,   0.2
Pembroke-North Pembroke Elementary,02310015,  95.6,   7.7,  30.0,   6.5,   0.0
Pembroke-Hobomock Elementary,02310010,  94.3,  10.2,  41.4,  15.8,   0.0
Pentucket-Pentucket Regional Sr High,07450505,  93.9,  10.7,  39.6,  14.2,   5.2
Pentucket-Pentucket Regional Middle,07450405,  95.4,   8.3,  33.3,   8.0,   0.2
Pentucket-Dr Frederick N Sweetsir,07450020,  96.5,   6.0,  15.0,   3.0,   0.9
Pentucket-Dr John C Page School,07450015,  95.4,   8.2,  31.4,   4.7,   5.8
Pentucket-Helen R Donaghue School,07450010,  95.6,   7.6,  24.4,   7.0,   4.1
Pentucket-Elmer S Bagnall,07450005,  95.9,   7.2,  28.6,   4.1,   3.3
Petersham-Petersham Center,02340005,  99.2,   1.5,   0.0,   0.0,   0.0
Phoenix Academy Public Charter High School Springfield (District)-Phoenix Academy Public Charter High School Springfield,35080505,  59.0,  53.4,  93.0,  92.1,  54.5
Phoenix Charter Academy (District)-Phoenix Charter Academy,04930505,  57.5,  59.1,  92.4,  91.6,  59.9
Pioneer Charter School of Science (District)-Pioneer Charter School of Science,04940205,  96.7,   6.2,  18.5,   2.7,   2.9
Pioneer Charter School of Science II (PCSS-II) (District)-Pioneer Charter School of Science II (PCSS-II),35060505,  98.6,   2.7,   4.5,   1.9,   0.0
Pioneer Valley-Pioneer Valley Regional,07500505,  95.6,   7.7,  26.5,   9.0,  18.3
Pioneer Valley-Bernardston Elementary,07500006,  96.2,   6.7,  22.0,   5.7,   1.3
Pioneer Valley-Pearl E Rhodes Elementary,07500007,  95.6,   7.4,  23.5,  11.8,   0.0
Pioneer Valley-Northfield Elementary,07500008,  96.0,   7.0,  20.6,   3.2,   1.1
Pioneer Valley-Warwick Community School,07500009,  95.2,   8.2,  38.3,  10.0,   3.3
Pioneer Valley Chinese Immersion Charter (District)-Pioneer Valley Chinese Immersion Charter School,04970205,  95.1,   8.7,  30.3,   6.6,   5.4
Pioneer Valley Performing Arts Charter Public (District)-Pioneer Valley Performing Arts Charter Public School,04790505,  93.1,  12.0,  48.2,  18.3,  10.8
Pittsfield-Allendale,02360010,  95.2,   8.3,  32.5,  13.2,  15.3
Pittsfield-Egremont,02360035,  95.0,   8.7,  33.6,  13.2,  20.9
Pittsfield-Robert T. Capeless Elementary School,02360045,  94.6,   9.4,  37.0,  10.5,  12.8
Pittsfield-Morningside Community School,02360055,  92.5,  12.8,  53.3,  27.9,  26.9
Pittsfield-Crosby,02360065,  93.2,  11.7,  46.7,  21.7,  29.9
Pittsfield-Stearns,02360090,  94.2,  10.3,  42.9,  15.0,  10.4
Pittsfield-Williams,02360100,  95.3,   8.3,  33.6,   9.4,   7.9
Pittsfield-Silvio O Conte Community,02360105,  92.4,  13.2,  55.2,  27.6,  35.9
Pittsfield-John T Reid Middle,02360305,  91.8,  14.2,  50.8,  28.7,  24.1
Pittsfield-Theodore Herberg Middle,02360310,  93.7,  10.9,  39.2,  18.3,  14.7
Pittsfield-Pittsfield High,02360505,  90.9,  15.8,  49.7,  30.9,  26.6
Pittsfield-Taconic High,02360510,  90.8,  15.8,  55.5,  31.0,  27.0
Plainville-Anna Ware Jackson,02380010,  95.9,   7.1,  26.2,   7.1,   4.2
Plainville-Beatrice H Wood Elementary,02380005,  96.4,   6.4,  20.6,   5.8,   1.6
Plymouth-Federal Furnace School,02390011,  95.4,   8.1,  32.7,   7.7,  20.9
Plymouth-Plymouth North High,02390505,  93.7,  10.8,  38.1,  15.9,  18.3
Plymouth-Plymouth Commun Intermediate,02390405,  95.0,   8.7,  34.0,  10.9,  26.6
Plymouth-Plymouth Early Childhood Center,02390003,  96.8,   5.3,  15.5,   3.0,  15.5
Plymouth-Cold Spring,02390005,  96.2,   6.7,  22.9,   4.2,  18.7
Plymouth-Hedge,02390010,  95.9,   6.8,  22.7,   6.7,  16.0
Plymouth-Plymouth South High,02390515,  94.4,   9.7,  36.5,  12.5,  18.4
Plymouth-Indian Brook,02390012,  95.4,   8.1,  33.5,   7.9,  22.5
Plymouth-Manomet Elementary,02390015,  96.1,   6.9,  25.9,   3.8,  20.3
Plymouth-Nathaniel Morton Elementary,02390030,  95.7,   7.5,  26.8,   7.9,  23.4
Plymouth-South Elementary,02390046,  96.2,   6.6,  23.1,   4.4,  17.0
Plymouth-West Elementary,02390047,  94.8,   9.1,  35.9,   9.7,  28.7
Plymouth-Plymouth South Middle,02390305,  95.4,   8.1,  31.7,   7.8,  22.9
Plympton-Dennett Elementary,02400010,  95.6,   7.7,  31.3,   6.7,  29.8
Prospect Hill Academy Charter (District)-Prospect Hill Academy Charter School,04870550,  95.5,   7.8,  30.0,  10.4,   0.2
Provincetown-Provincetown Schools,02420020,  92.7,  12.1,  49.6,  22.9,  26.7
Quabbin-Quabbin Regional Middle School,07530405,  94.8,   9.1,  28.5,  14.1,   0.0
Quabbin-Ruggles Lane,07530030,  95.5,   7.8,  31.7,   9.5,   8.7
Quabbin-Oakham Center,07530025,  94.9,   8.9,  28.0,  10.6,   0.0
Quabbin-New Braintree Grade,07530020,  95.1,   8.4,  40.0,   6.7,   0.0
Quabbin-Hubbardston Center,07530010,  95.2,   8.4,  35.7,   8.7,   0.0
Quabbin-Quabbin Regional High School,07530505,  93.5,  10.9,  38.4,  17.6,  22.4
Quabbin-Hardwick Elementary,07530005,  95.3,   8.3,  32.5,   8.6,   0.5
Quabbin-IB School of Quabbin,07530515,  92.4,  12.5,  46.2,  23.1,  23.1
Quaboag Regional-West Brookfield Elementary,07780010,  95.0,   8.7,  35.4,  10.3,   0.0
Quaboag Regional-Warren Elementary,07780005,  95.8,   7.3,  26.1,   7.5,   0.0
Quaboag Regional-Quaboag Regional Middle Innovation School,07780305,  94.2,  10.0,  41.1,  16.2,  25.7
Quaboag Regional-Quaboag Regional High,07780505,  93.7,  10.8,  46.5,  16.6,  30.5
Quincy-Wollaston School,02430110,  97.4,   4.4,  12.8,   2.8,  11.7
Quincy-Atlantic Middle,02430305,  97.0,   5.2,  19.8,   4.3,  16.3
Quincy-Broad Meadows Middle,02430310,  94.7,   9.3,  36.5,  16.2,  31.4
Quincy-Central Middle,02430315,  96.6,   6.0,  20.7,   5.7,  18.7
Quincy-Reay E Sterling Middle,02430320,  95.5,   7.8,  31.6,  14.1,  24.9
Quincy-Point Webster Middle,02430325,  95.9,   6.9,  26.6,  10.6,  20.4
Quincy-Squantum,02430095,  95.6,   7.8,  28.7,   8.3,  26.7
Quincy-Snug Harbor Community School,02430090,  94.2,   9.8,  38.5,  16.8,  34.5
Quincy-Francis W Parker,02430075,  97.1,   5.0,  21.4,   3.4,  16.8
Quincy-Montclair,02430065,  97.0,   5.2,  17.9,   2.7,  13.3
Quincy-Merrymount,02430060,  96.5,   6.2,  22.1,   4.2,  19.5
Quincy-Clifford H Marshall Elementary,02430055,  94.9,   8.5,  33.5,  12.9,  29.8
Quincy-Atherton Hough,02430040,  94.9,   9.0,  39.4,  12.7,  34.4
Quincy-Lincoln-Hancock Community School,02430035,  95.1,   8.2,  34.0,  10.3,  27.5
Quincy-Quincy High,02430505,  93.0,  12.0,  44.3,  23.6,  34.6
Quincy-Beechwood Knoll Elementary,02430020,  97.3,   4.8,  15.3,   2.5,  15.3
Quincy-Amelio Della Chiesa Early Childhood Center,02430005,  91.8,  12.5,  46.4,  33.6,  42.8
Quincy-North Quincy High,02430510,  95.2,   8.4,  29.8,  14.6,  24.3
Quincy-Charles A Bernazzani Elementary,02430025,  96.0,   7.0,  25.8,   6.7,  24.3
Ralph C Mahar-Ralph C Mahar Regional,07550505,  94.6,   9.3,  34.0,  11.3,   1.7
Ralph C Mahar-Pathways Early College Innovation School,07550515, 100.0,   0.0,   0.0,   0.0,   0.0
Ralph C Mahar-The Gateway to College,07550525, 100.0,   0.0,   0.0,   0.0,   0.0
Randolph-Martin E Young Elementary,02440040,  95.3,   8.1,  28.7,  11.2,  10.0
Randolph-Randolph High,02440505,  89.7,  17.5,  53.1,  36.2,  48.5
Randolph-Randolph Community Middle,02440410,  93.9,  10.4,  37.0,  21.1,  30.3
Randolph-Elizabeth G Lyons Elementary,02440020,  95.0,   8.6,  30.5,  11.1,  28.6
Randolph-J F Kennedy Elementary,02440018,  93.0,  11.3,  43.9,  23.6,  28.4
Randolph-Margaret L Donovan,02440015,  95.7,   7.0,  26.7,  10.4,  21.3
Reading-J Warren Killam,02460017,  96.5,   6.2,  18.8,   2.3,   0.0
Reading-Wood End Elementary School,02460020,  97.4,   4.7,  11.3,   1.7,   0.0
Reading-RISE PreSchool,02460001,  94.6,   7.2,  23.9,  13.3,   0.0
Reading-Arthur W Coolidge Middle,02460305,  97.0,   5.4,  13.0,   3.1,   0.0
Reading-Reading Memorial High,02460505,  96.1,   6.8,  19.3,   5.9,   1.7
Reading-Birch Meadow,02460005,  97.1,   5.1,  13.3,   1.1,   0.0
Reading-Alice M Barrows,02460002,  97.2,   5.0,  12.9,   1.6,   0.0
Reading-Walter S Parker Middle,02460310,  96.6,   6.1,  17.2,   3.6,   0.0
Reading-Joshua Eaton,02460010,  96.7,   5.8,  16.8,   2.8,   0.0
Revere-Paul Revere,02480050,  96.1,   6.8,  25.2,   5.8,   9.7
Revere-Staff Sargent James J. Hill Elementary School,02480035,  95.8,   7.3,  26.5,   6.0,  13.2
Revere-Abraham Lincoln,02480025,  94.7,   9.0,  34.0,  14.9,  18.1
Revere-Rumney Marsh Academy,02480014,  96.2,   6.8,  24.2,   6.0,  10.6
Revere-Beachmont Veterans Memorial School,02480013,  96.0,   6.8,  22.6,   8.0,  13.1
Revere-Seacoast School,02480520,  76.3,  34.1,  86.4,  75.0,  60.2
Revere-Revere High,02480505,  92.8,  12.7,  42.5,  24.8,   7.5
Revere-Susan B. Anthony Middle School,02480305,  95.5,   7.9,  29.9,   8.1,  13.5
Revere-Garfield Middle School,02480057,  95.4,   8.1,  29.7,  11.0,  14.8
Revere-Garfield Elementary School,02480056,  94.5,   9.4,  33.2,  13.8,  20.0
Revere-A. C. Whelan Elementary School,02480003,  95.1,   8.6,  35.1,   8.0,  14.0
Richmond-Richmond Consolidated,02490005,  94.6,   9.5,  44.8,  14.8,   0.0
Rising Tide Charter Public (District)-Rising Tide Charter Public School,04830305,  95.9,   7.2,  22.0,   5.2,   3.3
River Valley Charter (District)-River Valley Charter School,04820050,  96.0,   7.1,  24.7,   5.2,  24.3
Rochester-Rochester Memorial,02500005,  96.5,   6.1,  20.3,   3.1,   0.6
Rockland-Rockland Senior High,02510505,  93.5,  11.1,  38.1,  18.1,  32.5
Rockland-Jefferson Elementary School,02510060,  95.0,   8.7,  35.4,  11.2,  25.5
Rockland-Memorial Park,02510020,  95.8,   7.1,  26.4,   8.6,  20.5
Rockland-R Stewart Esten,02510025,  95.4,   7.9,  27.8,   9.9,  20.7
Rockland-John W Rogers Middle,02510305,  95.1,   8.4,  32.7,  12.8,  24.5
Rockport-Rockport High,02520510,  91.8,  14.8,  52.2,  17.5,  31.3
Rockport-Rockport Middle,02520305,  92.7,  13.1,  45.2,  14.3,   6.5
Rockport-Rockport Elementary,02520005,  93.1,  12.4,  46.3,  13.6,   2.7
Rowe-Rowe Elementary,02530005,  93.9,  10.7,  50.7,  13.7,   0.0
Roxbury Preparatory Charter (District)-Roxbury Preparatory Charter School,04840505,  92.9,  12.0,  46.1,  23.6,  29.1
Sabis International Charter (District)-Sabis International Charter School,04410505,  95.7,   7.6,  27.7,   8.8,  13.0
Salem-Salem Prep High School,02580515,  81.1,  26.4,  84.0,  72.0,  52.0
Salem-Salem High,02580505,  90.8,  15.4,  53.7,  33.2,  44.6
Salem-New Liberty Innovation School,02580510,  81.0,  24.0,  66.1,  67.9,  66.1
Salem-Collins Middle,02580305,  93.4,  11.2,  42.9,  20.8,  23.3
Salem-Witchcraft Heights,02580070,  95.3,   8.0,  30.8,  10.0,  12.7
Salem-Saltonstall School,02580050,  94.8,   9.0,  35.3,  13.4,  16.4
Salem-Horace Mann Laboratory,02580030,  93.9,  10.0,  42.2,  21.6,  23.9
Salem-Nathaniel Bowditch,02580025,  94.0,  10.3,  41.0,  22.1,  27.0
Salem-Carlton,02580015,  94.5,   9.1,  37.7,  14.9,  15.7
Salem-Bates,02580003,  93.3,  11.6,  45.9,  20.4,  32.3
Salem-Salem Early Childhood,02580001,  91.0,  13.9,  59.2,  32.5,  57.5
Salem Academy Charter (District)-Salem Academy Charter School,04850485,  95.5,   8.5,  37.7,   6.9,  13.0
Sandwich-Sandwich STEM Academy,02610305,  94.7,   9.4,  35.8,  14.4,   0.0
Sandwich-Sandwich High,02610505,  94.0,  10.6,  38.5,  13.3,  21.4
Sandwich-Oak Ridge,02610025,  96.5,   6.4,  22.6,   5.6,   0.0
Sandwich-Forestdale School,02610002,  97.0,   5.5,  18.5,   3.4,   8.9
Saugus-Lynnhurst,02620040,  94.7,   9.1,  39.4,  12.1,  30.8
Saugus-Oaklandvale,02620050,  94.5,   8.9,  35.1,  19.0,  14.6
Saugus-Douglas Waybright,02620067,  95.7,   7.5,  30.2,   8.5,   7.3
Saugus-Belmonte Saugus Middle,02620305,  93.9,  10.5,  41.4,  16.9,  16.5
Saugus-Saugus High,02620505,  90.6,  15.8,  56.3,  28.6,  38.2
Saugus-Veterans Memorial,02620065,  94.2,  10.2,  43.5,  15.0,  20.8
Savoy-Emma L Miller Elementary School,02630010,  94.1,   9.9,  39.0,  11.9,  16.9
Scituate-Cushing Elementary,02640007,  96.2,   6.7,  23.6,   2.2,   7.3
Scituate-Hatherly Elementary,02640010,  96.2,   6.8,  24.0,   4.1,   0.7
Scituate-Scituate High School,02640505,  94.2,  10.0,  34.3,  10.5,  12.3
Scituate-Wampatuck Elementary,02640020,  96.0,   7.1,  22.4,   5.7,   9.1
Scituate-Gates Middle School,02640305,  95.5,   8.1,  32.0,   7.9,  10.5
Scituate-Jenkins Elementary School,02640015,  95.7,   7.6,  24.6,   6.0,   7.1
Seekonk-George R Martin,02650007,  96.0,   6.9,  26.3,   6.0,   3.0
Seekonk-Mildred Aitken School,02650015,  96.8,   5.7,  16.3,   2.1,   0.0
Seekonk-Dr. Kevin M. Hurley Middle School,02650405,  96.6,   6.1,  17.3,   4.5,   0.0
Seekonk-Seekonk High,02650505,  95.4,   8.1,  27.8,   8.5,   2.3
Seven Hills Charter Public (District)-Seven Hills Charter School,04860105,  94.9,   9.1,  38.5,  10.2,  27.3
Sharon-Sharon Early Childhood Center,02660001,  91.4,  13.8,  50.9,  35.8,   0.0
Sharon-Sharon High,02660505,  96.0,   7.1,  23.1,   6.3,   0.0
Sharon-Sharon Middle,02660305,  96.4,   6.5,  22.9,   5.2,  19.8
Sharon-Heights Elementary,02660015,  96.6,   6.0,  19.8,   3.9,   0.0
Sharon-East Elementary,02660010,  96.0,   7.0,  26.8,   4.6,   0.0
Sharon-Cottage Street,02660005,  96.1,   7.0,  27.0,   4.0,   0.0
Shawsheen Valley Regional Vocational Technical-Shawsheen Valley Vocational Technical High School,08710605,  96.0,   6.9,  23.8,   6.9,   0.0
Sherborn-Pine Hill,02690010,  96.5,   6.2,  21.7,   3.0,  21.7
Shrewsbury-Shrewsbury Sr High,02710505,  92.2,  13.6,  71.0,  16.9,   0.1
Shrewsbury-Sherwood Middle School,02710305,  96.4,   6.3,  21.2,   5.7,   0.0
Shrewsbury-Parker Road Preschool,02710040,  92.6,   8.9,  33.1,  22.8,   0.0
Shrewsbury-Spring Street,02710035,  96.4,   6.4,  19.1,   3.9,   0.0
Shrewsbury-Oak Middle School,02710030,  96.0,   7.1,  24.0,   8.0,   0.0
Shrewsbury-Walter J Paton,02710025,  96.6,   6.1,  19.0,   3.4,   0.0
Shrewsbury-Floral Street School,02710020,  96.0,   6.9,  24.1,   7.1,   0.0
Shrewsbury-Beal School,02710005,  94.3,   9.7,  34.9,  15.3,   0.0
Shrewsbury-Calvin Coolidge,02710015,  95.4,   8.0,  29.6,   8.3,   4.5
Shutesbury-Shutesbury Elementary,02720005,  94.7,   9.4,  38.9,  13.5,   0.0
Silver Hill Horace Mann Charter (District)-Silver Hill Horace Mann Charter School,04770010,  95.9,   7.2,  28.1,   6.0,  22.0
Silver Lake-Silver Lake Regional Middle School,07600405,  94.8,   9.3,  34.7,  10.6,   0.0
Silver Lake-Silver Lake Regional High,07600505,  95.4,   8.1,  30.3,   9.8,   9.8
Sizer School: A North Central Charter Essential (District)-Sizer School: A North Central Charter Essential School,04740505,  93.2,  11.3,  45.2,  22.6,  12.5
Somerset-Somerset Middle School,02730305,  95.9,   7.2,  25.4,   7.2,  13.8
Somerset-South,02730015,  95.6,   7.7,  31.3,   6.1,  21.9
Somerset-North Elementary,02730008,  95.9,   7.2,  23.6,   5.9,   7.3
Somerset-Chace Street,02730005,  95.6,   7.6,  27.3,   6.9,  13.2
Somerset Berkley Regional School District-Somerset Berkley Regional High School,07630505,  94.4,   9.8,  34.4,  10.9,  10.0
Somerville-E Somerville Community,02740111,  96.4,   6.4,  24.4,   6.0,  18.8
Somerville-West Somerville Neighborhood,02740115,  94.9,   8.9,  36.8,  12.8,  30.9
Somerville-Winter Hill Community,02740120,  95.3,   7.9,  31.2,  11.0,  30.1
Somerville-Next Wave Junior High,02740410,  85.9,  24.0,  73.3,  60.0,  60.0
Somerville-Somerville High,02740505,  93.3,  11.4,  39.0,  22.2,  34.7
Somerville-Albert F. Argenziano School at Lincoln Park,02740087,  95.3,   8.1,  29.6,  11.4,  25.7
Somerville-John F Kennedy,02740083,  95.6,   7.7,  28.1,   7.5,  26.8
Somerville-Full Circle High School,02740510,  70.2,  44.6,  84.7,  79.7,  83.1
Somerville-Benjamin G Brown,02740015,  96.0,   6.9,  28.9,   2.9,  26.4
Somerville-Capuano Early Childhood Center,02740005,  92.7,  11.3,  44.7,  23.9,  44.4
Somerville-Arthur D Healey,02740075,  95.2,   8.4,  33.8,  11.8,  29.8
South Hadley-Plains Elementary,02780015,  95.2,   8.0,  32.1,   9.4,   0.0
South Hadley-Mosier,02780020,  95.5,   7.8,  29.4,   9.0,   0.0
South Hadley-Michael E. Smith Middle School,02780305,  94.8,   9.2,  27.9,  12.1,  10.3
South Hadley-South Hadley High,02780505,  93.5,  11.5,  41.8,  20.2,   0.0
South Middlesex Regional Vocational Technical-Joseph P Keefe Technical High School,08290605,  93.6,  10.9,  42.0,  18.9,  13.8
South Shore Charter Public (District)-South Shore Charter Public School,04880550,  95.0,   8.8,  33.0,  11.1,  26.1
South Shore Regional Vocational Technical-So Shore Vocational Technical High,08730605,  85.8,  25.2,  75.7,  50.6,  30.6
Southampton-William E Norris,02750005,  96.1,   6.8,  25.5,   4.8,   0.0
Southborough-P Brent Trottier,02760305,  96.2,   6.8,  20.9,   4.7,   0.0
Southborough-Mary E Finn School,02760008,  94.8,   8.2,  26.2,  11.5,   3.8
Southborough-Albert S. Woodward Memorial School,02760050,  96.3,   6.6,  21.6,   2.6,   3.3
Southborough-Margaret A Neary,02760020,  96.8,   5.7,  18.5,   1.9,   0.0
Southbridge-Southbridge High School,02770515,  86.8,  21.3,  67.9,  45.1,  58.6
Southbridge-Eastford Road,02770010,  91.0,  14.3,  57.0,  34.7,  56.5
Southbridge-West Street,02770020,  93.8,  10.1,  44.2,  19.8,  31.4
Southbridge-Southbridge Middle School,02770315,  92.6,  12.2,  45.2,  22.6,  34.8
Southbridge-Charlton Street,02770005,  93.4,  10.8,  41.3,  19.5,  35.1
Southeastern Regional Vocational Technical-Southeastern Regional Vocational Technical,08720605,  95.6,   7.7,  33.0,   9.8,  12.8
Southern Berkshire-Mt Everett Regional,07650505,  94.1,  10.2,  34.8,  16.3,   9.6
Southern Berkshire-Undermountain,07650035,  95.4,   7.9,  33.1,   9.5,  27.9
Southern Berkshire-New Marlborough Central,07650018,  94.4,   9.9,  46.1,   9.0,  36.0
Southern Worcester County Regional Vocational Technical-Bay Path Regional Vocational Technical High School,08760605,  95.3,   8.2,  27.7,   7.7,   0.0
Southwick-Tolland-Granville Regional School District-Southwick Regional School,07660505,  94.7,   9.3,  38.8,  11.3,  27.9
Southwick-Tolland-Granville Regional School District-Powder Mill School,07660315,  95.5,   8.0,  31.5,   7.5,  16.0
Southwick-Tolland-Granville Regional School District-Woodland School,07660010,  94.6,   9.2,  37.4,  11.1,  23.6
Spencer-E Brookfield-Knox Trail Middle School,07670415,  94.8,   9.0,  38.8,  13.3,   0.0
Spencer-E Brookfield-Wire Village School,07670040,  94.6,   9.1,  34.3,  15.5,   0.0
Spencer-E Brookfield-East Brookfield Elementary,07670008,  95.5,   7.5,  25.8,   6.2,   0.0
Spencer-E Brookfield-David Prouty High,07670505,  90.6,  15.7,  54.0,  29.1,   0.0
Springfield-Early Childhood Education Center,02810001,  84.3,  24.0,  76.5,  63.8,  61.0
Springfield-Springfield Public Day Elementary School,02810005,  91.9,  14.1,  50.0,  28.8,   7.6
Springfield-Edward P. Boland School,02810010,  93.4,  10.9,  42.7,  24.6,   4.3
Springfield-Thomas M Balliet,02810015,  93.9,  10.3,  39.8,  18.3,   8.0
Springfield-Samuel Bowles,02810020,  94.3,   9.7,  41.5,  15.3,   7.6
Springfield-Milton Bradley School,02810023,  92.2,  12.8,  55.8,  29.2,  21.6
Springfield-Brightwood,02810025,  92.9,  11.6,  51.3,  26.2,  34.0
Springfield-Elias Brookings,02810030,  92.6,  12.1,  51.0,  28.1,  12.1
Springfield-Kensington International School,02810110,  94.2,   9.5,  38.3,  19.8,  18.3
Springfield-Liberty,02810115,  94.9,   8.7,  34.4,  13.2,   0.0
Springfield-Lincoln,02810120,  94.0,  10.0,  44.7,  17.7,  14.5
Springfield-Mary A. Dryden Veterans Memorial School,02810125,  94.5,   9.4,  37.9,  16.4,   0.0
Springfield-Mary M Lynch,02810140,  94.3,   9.9,  43.0,  13.0,  21.5
Springfield-Mary O Pottenger,02810145,  94.0,  10.1,  41.1,  19.9,  15.2
Springfield-Mary M Walsh,02810155,  94.5,   9.3,  38.4,  14.5,  13.5
Springfield-Sumner Avenue,02810160,  94.2,   9.7,  39.3,  18.7,  24.5
Springfield-Arthur T Talmadge,02810165,  94.9,   8.9,  35.2,  12.6,  15.8
Springfield-High School Of Commerce,02810510,  91.0,  14.2,  49.9,  31.0,   0.0
Springfield-Springfield High School of Science and Technology,02810530,  92.7,  12.0,  40.8,  23.3,   0.1
Springfield-Springfield Public Day High School,02810550,  71.0,  43.0,  89.2,  81.4,  76.5
Springfield-Liberty Preparatory Academy,02810560,  86.6,   7.8,  26.7,  46.7,  13.3
Springfield-Springfield High School,02810570,  75.8,  30.3,  69.7,  66.9,   1.6
Springfield-Gateway to College at Holyoke Community College,02810575,  88.0,  18.0,  76.9,  46.2,  69.2
Springfield-Gateway to College at Springfield Technical Community College,02810580,  76.4,  29.5,  83.3,  81.3,   0.0
Springfield-Roger L. Putnam Vocational Technical Academy,02810620,  94.4,   9.9,  38.5,  15.7,   0.0
Springfield-Springfield Central High,02810500,  92.5,  12.9,  43.3,  24.4,   0.0
Springfield-Van Sickle Academy,02810485,  91.3,  14.7,  51.8,  27.8,   0.0
Springfield-Rise Academy at Van Sickle,02810480,  93.5,  10.5,  38.0,  22.4,   0.0
Springfield-Chestnut Accelerated Middle School (Talented and Gifted),02810367,  94.6,   9.5,  32.0,  12.9,   0.0
Springfield-Conservatory of the Arts,02810475,  91.7,  14.6,  56.1,  29.4,   0.0
Springfield-Daniel B Brunton,02810035,  94.2,   9.9,  44.3,  14.5,  18.6
Springfield-William N. DeBerry,02810045,  94.7,   8.9,  37.0,  12.2,   4.4
Springfield-Hiram L Dorman,02810050,  94.5,   9.5,  39.6,  12.7,  11.7
Springfield-Rebecca M Johnson,02810055,  92.5,  11.9,  43.4,  25.8,   0.5
Springfield-Margaret C Ells,02810060,  91.6,  12.9,  54.8,  31.6,   0.7
Springfield-Glenwood,02810065,  95.5,   7.8,  31.9,   9.1,   0.3
Springfield-Glickman Elementary,02810068,  93.8,  10.3,  40.8,  18.1,  31.4
Springfield-Frank H Freedman,02810075,  94.7,   8.9,  36.3,  11.5,   9.3
Springfield-Frederick Harris,02810080,  94.0,  10.0,  41.6,  18.9,  10.8
Springfield-Homer Street,02810085,  94.5,   9.3,  42.9,  15.3,   0.2
Springfield-Alfred G. Zanetti Montessori Magnet School,02810095,  96.3,   6.5,  24.1,   4.3,   4.8
Springfield-Indian Orchard Elementary,02810100,  93.5,  10.9,  43.0,  21.2,   0.3
Springfield-South End Middle School,02810355,  90.9,  15.3,  60.8,  33.5,   0.0
Springfield-Balliet Middle School,02810360,  69.6,  46.8,  86.2,  77.6,  75.9
Springfield-Chestnut Academy,02810365,  94.3,   9.4,  33.8,  19.8,   0.0
Springfield-Impact Prep at Chestnut,02810366,  90.6,  15.8,  57.8,  33.3,   0.0
Springfield-German Gerena Community School,02810195,  94.0,  10.3,  44.4,  17.8,  15.3
Springfield-The Springfield Renaissance School an Expeditionary Learning School,02810205,  94.1,  10.6,  43.2,  15.9,   0.0
Springfield-John J Duggan Middle,02810320,  93.4,  11.3,  37.8,  19.7,   0.0
Springfield-Forest Park Middle,02810325,  90.7,  15.5,  53.1,  31.9,   0.0
Springfield-John F Kennedy Middle,02810328,  91.3,  14.6,  58.2,  30.5,   0.0
Springfield-M Marcus Kiley Middle,02810330,  92.5,  12.5,  47.8,  24.6,   0.6
Springfield-Springfield Public Day Middle School,02810345,  83.3,  26.4,  73.1,  59.6,  44.2
Springfield-STEM Middle Academy,02810350,  95.7,   7.4,  29.4,   8.8,   0.0
Springfield-Alice B Beal Elementary,02810175,  95.3,   7.8,  32.1,   9.5,   2.9
Springfield-Warner,02810180,  94.6,   9.0,  40.2,  14.7,   0.7
Springfield-Washington,02810185,  93.8,  10.2,  41.2,  22.3,   4.5
Springfield-White Street,02810190,  94.8,   8.6,  38.8,  12.4,   6.2
Springfield Preparatory Charter School (District)-Springfield Preparatory Charter School,35100205,  95.1,   8.7,  39.5,   9.0,  28.3
Stoneham-Robin Hood,02840025,  95.0,   8.6,  31.0,  11.8,   0.0
Stoneham-Colonial Park,02840005,  95.2,   8.2,  31.4,  10.0,   0.0
Stoneham-South,02840030,  95.7,   7.4,  27.7,   7.3,   0.0
Stoneham-Stoneham Central Middle School,02840405,  95.5,   7.9,  27.4,  10.6,   0.0
Stoneham-Stoneham High,02840505,  93.6,  11.1,  38.8,  18.1,   0.0
Stoughton-Edwin A Jones Early Childhood Center,02850012,  98.5,   1.6,   0.9,   0.0,   0.0
