2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Boston - Boston Arts Academy,00350546,ENGLISH LANGUAGE ARTS,120,94,40,31,80,63,8,6,0,0,128,  98.0,  42.6,112
Boston - Boston Arts Academy,00350546,MATHEMATICS,89,70,40,31,49,38,27,21,12,9,128,  85.2,  41.0,113
Boston - Boston Arts Academy,00350546,SCIENCE AND TECH/ENG,63,53,11,9,52,44,54,45,2,2,119,  80.5,N/A,N/A
Boston - Boston Collaborative High School,00350755,ENGLISH LANGUAGE ARTS,6,55,1,9,5,45,4,36,1,9,11,  84.1, ,3
Boston - Boston Collaborative High School,00350755,MATHEMATICS,1,7,1,7,0,0,3,21,10,71,14,  33.9, ,3
Boston - Boston Community Leadership Academy,00350558,ENGLISH LANGUAGE ARTS,91,82,21,19,70,63,12,11,8,7,111,  93.2,  45.0,85
Boston - Boston Community Leadership Academy,00350558,MATHEMATICS,85,77,36,32,49,44,20,18,6,5,111,  92.3,  59.0,84
Boston - Boston Community Leadership Academy,00350558,SCIENCE AND TECH/ENG,40,43,3,3,37,39,45,48,9,10,94,  76.9,N/A,N/A
Boston - Boston International High School,00350507,ENGLISH LANGUAGE ARTS,45,69,4,6,41,63,20,31,0,0,65,  89.2, ,7
Boston - Boston International High School,00350507,MATHEMATICS,37,57,12,18,25,38,20,31,8,12,65,  80.8, ,6
Boston - Boston International High School,00350507,SCIENCE AND TECH/ENG,18,46,0,0,18,46,17,44,4,10,39,  75.6,N/A,N/A
Boston - Boston Latin,00350560,ENGLISH LANGUAGE ARTS,401,100,360,90,41,10,0,0,0,0,401, 100.0,  54.2,358
Boston - Boston Latin,00350560,MATHEMATICS,399,100,392,98,7,2,0,0,0,0,399, 100.0,  69.0,350
Boston - Boston Latin,00350560,SCIENCE AND TECH/ENG,399,99,262,65,137,34,3,1,0,0,402,  99.7,N/A,N/A
Boston - Boston Latin Academy,00350545,ENGLISH LANGUAGE ARTS,275,100,170,62,105,38,1,0,0,0,276,  99.9,  38.0,256
Boston - Boston Latin Academy,00350545,MATHEMATICS,274,99,222,80,52,19,2,1,0,0,276,  99.8,  47.6,253
