2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Boston - Community Academy,00350518,      12.1,  87.6,   6.5 to 1,  73.5,  76.0
Boston - Community Academy of Science and Health,00350581,      37.4,  92.4,  10.4 to 1,  94.7,  89.7
Boston - Curley K-8 School,00350020,      80.0,  98.7,  11.8 to 1,  82.3,  93.6
Boston - Curtis Guild,00350062,      25.3,  91.7,  11.6 to 1,  76.2,  98.0
Boston - Dante Alighieri Montessori School,00350066,       9.8, 100.0,   9.4 to 1,  86.6,  81.3
Boston - David A Ellis,00350072,      33.0, 100.0,  13.8 to 1,  78.5,  81.8
Boston - Dearborn,00350074,      35.7,  95.0,   9.9 to 1,  60.8,  76.2
Boston - Dennis C Haley,00350077,      45.3, 100.0,   9.9 to 1,  88.9,  97.8
Boston - Donald Mckay,00350080,      52.4, 100.0,  14.8 to 1,  78.9,  96.2
Boston - Dorchester Academy,00350651,       7.5,  73.3,   5.6 to 1,  66.1,  73.2
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,      16.1, 100.0,  11.7 to 1,  81.4,  87.3
Boston - Dr. William Henderson Lower,00350266,      22.5,  82.1,   9.4 to 1,  51.1,  91.1
Boston - Dr. William Henderson Upper,00350426,      69.2,  94.3,   8.8 to 1,  68.1,  78.3
Boston - ELC - West Zone,00350006,      11.3, 100.0,  10.2 to 1, 100.0, 100.0
Boston - East Boston Early Childhood Center,00350009,      13.7,  92.7,  14.4 to 1,  87.9,  92.7
Boston - East Boston High,00350530,      99.9,  95.6,  13.4 to 1,  80.6,  85.1
Boston - Edison K-8,00350375,      54.3,  94.3,  11.7 to 1,  77.6,  96.1
Boston - Edward Everett,00350088,      19.5, 100.0,  13.9 to 1,  79.7,  95.1
Boston - Eliot Elementary,00350096,      43.5, 100.0,  14.6 to 1,  74.9,  88.6
Boston - Ellis Mendell,00350100,      18.6, 100.0,  14.3 to 1,  76.8,  91.1
Boston - Excel High School,00350522,      42.9,  95.6,  11.4 to 1,  61.1,  81.6
Boston - Fenway High School,00350540,      31.3,  88.5,  11.6 to 1,  82.7,  95.3
Boston - Franklin D Roosevelt,00350116,      34.2, 100.0,  13.3 to 1, 100.0,  97.1
Boston - Gardner Pilot Academy,00350326,      34.6,  97.4,  11.6 to 1,  84.7,  94.2
Boston - George H Conley,00350122,      18.5, 100.0,  11.5 to 1,  94.3,  96.8
Boston - Greater Egleston Community High School,00350543,      13.6,  89.0,   7.7 to 1,  66.2,  77.2
Boston - Harvard-Kent,00350200,      42.0,  98.8,  11.3 to 1,  89.3,  97.6
Boston - Haynes Early Education Center,00350010,      17.5,  77.9,  12.1 to 1,  60.6,  94.1
Boston - Henry Grew,00350135,      15.4, 100.0,  16.5 to 1,  77.6,  90.9
Boston - Higginson,00350015,      13.8,  92.6,  12.4 to 1,  72.8,  80.4
Boston - Higginson/Lewis K-8,00350377,      29.0,  96.5,  10.6 to 1,  75.9,  86.2
Boston - Horace Mann School for the Deaf,00350750,      35.0,  95.7,   2.4 to 1,  87.2,  97.2
Boston - Hugh Roe O'Donnell,00350141,      18.5, 100.0,  13.4 to 1,  89.1,  86.6
Boston - Jackson Mann,00350013,      57.2,  98.3,  11.5 to 1,  80.7,  91.5
Boston - James Condon Elementary,00350146,      61.0, 100.0,  14.8 to 1,  90.1,  93.3
Boston - James J Chittick,00350154,      24.1, 100.0,  12.7 to 1,  95.8,  87.5
Boston - James Otis,00350156,      29.5, 100.0,  13.7 to 1,  89.8,  93.2
Boston - James P Timilty Middle,00350485,      29.7,  93.3,  11.2 to 1,  79.9,  86.7
Boston - James W Hennigan,00350153,      47.5,  97.9,  12.2 to 1,  91.5,  97.9
Boston - Jeremiah E Burke High,00350525,      31.9,  88.4,  14.8 to 1,  69.7,  75.7
Boston - John D Philbrick,00350172,       9.7,  89.3,  16.7 to 1,  63.2,  89.5
Boston - John F Kennedy,00350166,      26.7, 100.0,  14.7 to 1,  73.9,  88.6
Boston - John W McCormack,00350179,      35.4,  95.3,  10.5 to 1,  81.1,  82.9
Boston - John Winthrop,00350180,      23.9, 100.0,  13.7 to 1,  89.3, 100.0
Boston - Joseph J Hurley,00350182,      24.0, 100.0,  15.0 to 1,  91.6,  87.5
Boston - Joseph Lee,00350183,      53.3,  98.8,  12.4 to 1,  84.1,  93.9
Boston - Joseph P Manning,00350184,      12.9,  95.3,  11.8 to 1,  87.2,  91.1
Boston - Joseph P Tynan,00350181,      25.1, 100.0,   9.3 to 1,  84.1,  83.8
Boston - Josiah Quincy,00350286,      59.0,  96.6,  14.1 to 1,  78.0,  98.3
Boston - Joyce Kilmer,00350190,      29.9, 100.0,  15.6 to 1,  96.7,  96.7
Boston - King K-8,00350376,      35.6,  94.4,  13.7 to 1,  83.2,  80.5
Boston - Lee Academy,00350001,      17.9,  97.2,  12.5 to 1,  70.5,  89.0
Boston - Lilla G. Frederick Middle School,00350383,      48.0,  95.9,  10.3 to 1,  70.8,  89.4
Boston - Lyndon,00350262,      40.1,  98.8,  14.5 to 1,  85.0,  95.0
