2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Newburyport - Edward G. Molin Elementary School,02040030,      27.0, 100.0,  11.9 to 1,  89.3,  98.5
Newburyport - Francis T Bresnahan Elementary,02040005,      53.3, 100.0,  11.5 to 1,  87.8, 100.0
Newburyport - Newburyport High,02040505,      63.2, 100.0,  12.2 to 1,  89.7,  96.8
Newburyport - Rupert A Nock Middle,02040305,      42.6, 100.0,  13.1 to 1,  92.7,  96.2
Newton - A E Angier,02070005,      39.9,  97.5,  11.7 to 1,  87.2, 100.0
Newton - Bigelow Middle,02070305,      52.1,  98.1,  10.0 to 1,  90.4,  98.1
Newton - Bowen,02070015,      32.9, 100.0,  12.8 to 1,  75.7, 100.0
Newton - C C Burr,02070020,      29.7, 100.0,  13.0 to 1,  67.1,  93.3
Newton - Cabot,02070025,      30.7,  95.1,  12.7 to 1,  70.7,  96.7
Newton - Charles E Brown Middle,02070310,      66.9, 100.0,  11.3 to 1,  95.2,  90.7
Newton - Countryside,02070040,      36.9,  97.3,  11.1 to 1,  89.1,  97.3
Newton - F A Day Middle,02070315,      86.5,  98.8,  11.3 to 1,  83.8,  93.1
Newton - Franklin,02070055,      36.0,  93.1,  12.1 to 1,  69.7,  93.9
Newton - Horace Mann,02070075,      31.1,  94.8,  13.0 to 1,  80.0,  97.1
Newton - John Ward,02070120,      24.0, 100.0,  12.9 to 1,  83.3,  95.0
Newton - Lincoln-Eliot,02070070,      32.6,  98.5,  11.5 to 1,  83.2, 100.0
Newton - Mason-Rice,02070080,      32.0,  98.4,  16.0 to 1,  85.0, 100.0
Newton - Memorial Spaulding,02070105,      39.2, 100.0,  11.6 to 1,  85.7,  97.4
Newton - Newton Early Childhood Center,02070108,      15.3, 100.0,  12.9 to 1,  82.0, 100.0
Newton - Newton North High,02070505,     186.4,  98.6,  11.5 to 1,  86.7,  94.3
Newton - Newton South High,02070510,     156.6,  99.7,  12.1 to 1,  87.2,  94.5
Newton - Oak Hill Middle,02070320,      57.3,  99.1,  10.7 to 1,  80.0,  93.3
Newton - Peirce,02070100,      21.3, 100.0,  12.9 to 1,  93.0, 100.0
Newton - Underwood,02070115,      23.0, 100.0,  12.3 to 1,  87.0,  91.3
Newton - Williams,02070125,      22.8,  97.8,  13.0 to 1,  73.7, 100.0
Newton - Zervas,02070130,      32.4,  96.9,  12.6 to 1,  81.5,  96.9
Norfolk - Freeman-Kennedy School,02080005,      39.2,  97.4,  12.5 to 1,  89.8, 100.0
Norfolk - H Olive Day,02080015,      36.6, 100.0,  12.6 to 1,  83.6,  95.9
Norfolk County Agricultural - Norfolk County Agricultural,09150705,      55.9,  98.2,   9.8 to 1,  76.7,  78.5
North Adams - Brayton,02090035,      27.7,  96.4,   9.4 to 1,  96.4,  92.8
North Adams - Colegrove Park Elementary,02090008,      26.5,  96.2,  13.6 to 1,  70.7,  78.3
North Adams - Drury High,02090505,      45.8,  93.4,  11.4 to 1,  81.4,  82.0
North Adams - Greylock,02090015,      23.7, 100.0,  12.5 to 1,  87.3,  93.7
North Andover - Annie L Sargent School,02110018,      31.5, 100.0,  17.8 to 1,  94.5, 100.0
North Andover - Atkinson,02110001,      34.6,  97.1,  16.4 to 1,  85.6,  98.4
North Andover - Franklin,02110010,      29.2, 100.0,  15.5 to 1,  82.9, 100.0
North Andover - Kittredge,02110015,      17.4, 100.0,  16.6 to 1,  88.5,  97.5
North Andover - North Andover High,02110505,      90.7,  96.9,  16.4 to 1,  82.9,  91.8
North Andover - North Andover Middle,02110305,      73.6, 100.0,  15.0 to 1,  87.8,  90.5
North Andover - Thomson,02110020,      23.9, 100.0,  14.4 to 1,  90.4,  95.8
North Attleborough - Amvet Boulevard,02120007,      23.3, 100.0,  17.1 to 1,  95.7, 100.0
North Attleborough - Community,02120030,      30.7, 100.0,  10.4 to 1,  83.7,  93.5
North Attleborough - Falls,02120010,      17.4, 100.0,  15.8 to 1, 100.0, 100.0
North Attleborough - Joseph W Martin Jr Elementary,02120013,      36.0, 100.0,  17.7 to 1,  86.2,  94.4
North Attleborough - North Attleboro High,02120505,      80.7, 100.0,  14.3 to 1,  88.6,  95.1
North Attleborough - North Attleborough Early Learning Center,02120020,       7.0, 100.0,  18.0 to 1,  57.2, 100.0
North Attleborough - North Attleborough Middle,02120305,      73.4, 100.0,  14.8 to 1,  79.6,  93.2
North Attleborough - Roosevelt Avenue,02120015,      17.3, 100.0,  16.3 to 1,  95.5,  95.5
North Brookfield - North Brookfield Elementary,02150015,      23.0,  95.7,  14.3 to 1,  58.7,  95.7
North Brookfield - North Brookfield High,02150505,      21.7,  95.4,  10.5 to 1,  81.6,  86.2
North Middlesex - Ashby Elementary,07350010,      18.5, 100.0,   9.9 to 1,  87.6,  93.0
North Middlesex - Hawthorne Brook,07350030,      42.0, 100.0,  12.0 to 1,  78.6,  95.2
North Middlesex - Nissitissit Middle School,07350310,      48.4,  97.9,  10.8 to 1,  85.5,  89.7
North Middlesex - North Middlesex Regional,07350505,      60.0,  98.3,  13.3 to 1,  74.9,  95.0
North Middlesex - Peter Fitzpatrick School,07350515,       1.0, 100.0,  18.0 to 1, 100.0, 100.0
North Middlesex - Spaulding Memorial,07350005,      32.0, 100.0,  13.2 to 1,  84.4,  96.9
North Middlesex - Squannacook Early Childhood Center,07350002,       4.7, 100.0,  19.1 to 1,  78.7, 100.0
North Middlesex - Varnum Brook,07350035,      42.3, 100.0,  12.7 to 1,  96.5, 100.0
North Reading - E Ethel Little School,02170003,      23.7, 100.0,  13.9 to 1,  97.9, 100.0
North Reading - J Turner Hood,02170010,      28.2, 100.0,  11.9 to 1,  90.4, 100.0
North Reading - L D Batchelder,02170005,      31.1,  96.8,  14.9 to 1,  89.1, 100.0
North Reading - North Reading High,02170505,      69.8, 100.0,  11.6 to 1,  88.7,  92.2
North Reading - North Reading Middle,02170305,      45.2, 100.0,  12.1 to 1,  95.6,  97.8
Northampton - Bridge Street,02100005,      29.9, 100.0,   9.2 to 1,  83.9,  90.6
Northampton - Jackson Street,02100020,      31.2, 100.0,  11.5 to 1,  83.3,  96.2
Northampton - John F Kennedy Middle School,02100410,      60.6, 100.0,  10.1 to 1,  82.8,  91.1
Northampton - Leeds,02100025,      28.5, 100.0,  11.3 to 1,  75.4, 100.0
Northampton - Northampton High,02100505,      56.8,  99.1,  15.3 to 1,  93.0,  94.7
Northampton - R. K. Finn Ryan Road,02100029,      24.5, 100.0,   9.0 to 1,  91.8,  95.9
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,      56.0,  94.6,   8.9 to 1,  76.8,  73.2
Northboro-Southboro - Algonquin Regional High,07300505,     114.8,  99.3,  12.8 to 1,  88.6,  94.9
Northborough - Fannie E Proctor,02130015,      18.4, 100.0,  13.5 to 1,  89.1, 100.0
Northborough - Lincoln Street,02130003,      14.7, 100.0,  17.3 to 1, 100.0, 100.0
Northborough - Marguerite E Peaslee,02130014,      16.0, 100.0,  17.2 to 1,  93.8, 100.0
Northborough - Marion E Zeh,02130020,      12.9, 100.0,  18.9 to 1, 100.0, 100.0
Northborough - Robert E. Melican Middle School,02130305,      51.5, 100.0,  12.1 to 1,  83.1,  90.6
Northbridge - Northbridge Elementary,02140005,      27.7, 100.0,  13.7 to 1, 100.0, 100.0
Northbridge - Northbridge High,02140505,      49.9, 100.0,  11.4 to 1,  89.2,  92.0
Northbridge - Northbridge Middle,02140305,      49.0, 100.0,  14.8 to 1,  89.8,  93.9
Northbridge - W Edward Balmer,02140001,      37.5, 100.0,  13.5 to 1,  85.3, 100.0
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,     115.3,  97.0,  10.8 to 1,  86.3,  85.9
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,      46.4,  94.6,  10.5 to 1,  92.6,  93.5
Norton - Henri A. Yelle,02180060,      28.6, 100.0,  13.8 to 1,  82.1,  96.5
Norton - J C Solmonese,02180015,      36.5, 100.0,  12.7 to 1,  89.0, 100.0
Norton - L G Nourse Elementary,02180010,      21.8, 100.0,  13.1 to 1,  72.3, 100.0
Norton - Norton High,02180505,      56.2,  96.4,  13.2 to 1,  80.2,  83.1
Norton - Norton Middle,02180305,      51.6, 100.0,  11.4 to 1,  87.1,  94.2
Norwell - Grace Farrar Cole,02190005,      33.8, 100.0,  14.1 to 1,  85.9,  97.0
Norwell - Norwell High,02190505,      51.9, 100.0,  13.4 to 1,  94.2,  96.1
Norwell - Norwell Middle School,02190405,      43.3, 100.0,  11.7 to 1,  97.7,  95.4
Norwell - William G Vinal,02190020,      33.7, 100.0,  15.4 to 1,  82.2,  97.0
Norwood - Balch,02200005,      24.2, 100.0,  12.2 to 1,  93.8, 100.0
Norwood - Charles J Prescott,02200025,      20.1, 100.0,  12.4 to 1, 100.0, 100.0
Norwood - Cornelius M Callahan,02200010,      20.3, 100.0,  10.8 to 1,  80.3,  95.1
Norwood - Dr. Philip O. Coakley Middle School,02200305,      62.9, 100.0,  11.7 to 1,  86.6,  93.0
Norwood - F A Cleveland,02200015,      27.0, 100.0,  12.1 to 1,  96.3, 100.0
Norwood - George F. Willett,02200075,      24.9, 100.0,  15.6 to 1,  92.0, 100.0
Norwood - John P Oldham,02200020,      21.7, 100.0,  10.5 to 1,  90.8, 100.0
Norwood - Norwood High,02200505,      69.7, 100.0,  13.7 to 1,  91.0,  93.0
Oak Bluffs - Oak Bluffs Elementary,02210005,      46.5,  98.8,   9.2 to 1,  80.7,  88.6
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,08550605,      57.0,  96.5,   9.4 to 1,  80.6,  80.2
Old Rochester - Old Rochester Regional High,07400505,      53.7, 100.0,  14.5 to 1,  91.0,  96.3
Old Rochester - Old Rochester Regional Jr High,07400405,      37.0, 100.0,  12.9 to 1,  89.2,  97.3
Old Sturbridge Academy Charter Public School (District) - Old Sturbridge Academy Charter Public School,35150205,      14.2, 100.0,  11.2 to 1,  15.7,  78.9
Orange - Dexter Park,02230010,      23.1, 100.0,  13.6 to 1,  78.1,  89.1
Orange - Fisher Hill,02230015,      21.9, 100.0,  12.8 to 1,  68.4,  88.8
Orleans - Orleans Elementary,02240005,      21.6, 100.0,  10.3 to 1,  92.1,  97.7
Oxford - Alfred M Chaffee,02260010,      20.0, 100.0,  14.5 to 1,  87.8,  97.8
Oxford - Clara Barton,02260005,      24.5, 100.0,  15.6 to 1,  89.5,  93.6
Oxford - Oxford High,02260505,      40.8, 100.0,  13.3 to 1,  86.5,  83.8
Oxford - Oxford Middle,02260405,      30.7, 100.0,  14.4 to 1,  95.4,  93.5
Oxford - Project C.O.F.F.E.E.,02260305,       7.2, 100.0,   3.8 to 1,  97.9,  58.0
Palmer - Old Mill Pond,02270008,      57.0, 100.0,  12.1 to 1,  84.2,  98.2
Palmer - Palmer High,02270505,      62.0, 100.0,  11.5 to 1,  89.4,  93.5
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,08600605,      73.7,  91.9,   8.3 to 1,  82.4,  85.8
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,35010505,      35.0,  57.9,   7.7 to 1,  40.8,  74.3
Peabody - Captain Samuel Brown,02290005,      29.3,  99.5,  12.2 to 1,  96.1,  99.3
Peabody - Center,02290015,      26.1,  99.5,  15.1 to 1,  85.4,  94.3
Peabody - J Henry Higgins Middle,02290305,      94.0,  98.4,  14.5 to 1,  87.8,  92.0
Peabody - John E Burke,02290007,      23.4,  99.5,  11.2 to 1,  79.2,  96.9
Peabody - John E. McCarthy,02290016,      25.9, 100.0,  13.7 to 1,  91.0,  98.5
Peabody - Peabody Veterans Memorial High,02290510,     126.2,  96.0,  11.7 to 1,  87.3,  91.1
Peabody - South Memorial,02290035,      28.8,  96.1,  16.2 to 1,  86.4,  96.5
Peabody - Thomas Carroll,02290010,      41.6, 100.0,  15.0 to 1,  78.4,  99.5
Peabody - West Memorial,02290045,      20.1,  98.8,  12.3 to 1,  82.2,  93.4
Peabody - William A Welch Sr,02290027,      24.2, 100.0,  14.9 to 1,  89.7,  89.7
Pelham - Pelham Elementary,02300005,      11.5,  98.3,  11.0 to 1,  67.0,  91.3
Pembroke - Bryantville Elementary,02310003,      31.9, 100.0,  15.7 to 1,  87.5,  98.2
Pembroke - Hobomock Elementary,02310010,      29.7, 100.0,  14.3 to 1,  87.4,  91.3
Pembroke - North Pembroke Elementary,02310015,      39.9, 100.0,  13.8 to 1,  92.5,  97.3
Pembroke - Pembroke Community Middle School,02310305,      31.1, 100.0,  16.0 to 1,  95.2,  99.7
Pembroke - Pembroke High School,02310505,      65.8,  98.5,  14.0 to 1,  85.0,  88.0
Pentucket - Dr Frederick N Sweetsir,07450020,      16.4, 100.0,  13.3 to 1,  74.6,  96.2
Pentucket - Dr John C Page School,07450015,      27.7, 100.0,  12.3 to 1,  91.6,  95.2
Pentucket - Elmer S Bagnall,07450005,      38.4, 100.0,  13.2 to 1,  84.8,  95.3
Pentucket - Helen R Donaghue School,07450010,      22.3, 100.0,  10.8 to 1,  84.0,  96.2
Pentucket - Pentucket Regional Middle,07450405,      31.5, 100.0,  13.4 to 1,  94.6,  91.7
Pentucket - Pentucket Regional Sr High,07450505,      58.1, 100.0,  12.8 to 1,  87.5,  89.8
Petersham - Petersham Center,02340005,      11.3,  82.5,  10.3 to 1,  79.4,  96.9
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,35080505,      13.3,  63.9,  15.3 to 1,   0.0,  62.4
Phoenix Charter Academy (District) - Phoenix Charter Academy,04930505,      16.0,  43.8,  12.3 to 1,  31.3,  68.8
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,04940205,      66.5,  71.0,  10.0 to 1,  19.4,  87.9
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,      30.7,  65.8,  11.6 to 1,  16.3,  71.5
Pioneer Valley - Bernardston Elementary,07500006,      13.7, 100.0,  11.5 to 1,  92.7, 100.0
Pioneer Valley - Northfield Elementary,07500008,      17.5,  96.8,  10.6 to 1,  88.2,  97.1
Pioneer Valley - Pearl E Rhodes Elementary,07500007,       6.6, 100.0,   5.0 to 1,  69.8, 100.0
Pioneer Valley - Pioneer Valley Regional,07500505,      29.2,  96.6,  12.3 to 1,  89.7,  93.2
Pioneer Valley - Warwick Community School,07500009,       6.9, 100.0,   8.6 to 1, 100.0, 100.0
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,04970205,      63.6,  72.2,   7.8 to 1,  50.3,  78.3
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,04790505,      44.1,  67.3,   9.1 to 1,  81.3,  72.8
Pittsfield - Allendale,02360010,      21.3, 100.0,  13.5 to 1,  85.9, 100.0
Pittsfield - Crosby,02360065,      35.2,  94.3,  12.7 to 1,  71.6,  85.8
Pittsfield - Egremont,02360035,      29.0,  96.6,  14.6 to 1,  79.3,  93.1
Pittsfield - John T Reid Middle,02360305,      52.6, 100.0,  10.5 to 1,  93.3,  91.2
Pittsfield - Morningside Community School,02360055,      36.5,  94.5,  10.6 to 1,  72.6,  91.8
Pittsfield - Pittsfield High,02360505,      80.5, 100.0,  10.6 to 1,  85.2,  82.1
Pittsfield - Robert T. Capeless Elementary School,02360045,      16.0, 100.0,  13.5 to 1,  97.4,  98.8
Pittsfield - Silvio O Conte Community,02360105,      30.8, 100.0,  11.7 to 1,  76.3,  87.9
Pittsfield - Stearns,02360090,      15.7, 100.0,  15.6 to 1,  71.9,  87.2
Pittsfield - Taconic High,02360510,      73.1,  98.6,  10.0 to 1,  93.5,  90.3
Pittsfield - Theodore Herberg Middle,02360310,      50.7, 100.0,  12.7 to 1,  85.3,  79.7
Pittsfield - Williams,02360100,      21.9,  95.4,  14.6 to 1,  83.6, 100.0
Plainville - Anna Ware Jackson,02380010,      27.3,  97.8,  14.8 to 1,  81.3,  97.8
Plainville - Beatrice H Wood Elementary,02380005,      21.0,  98.1,  14.4 to 1,  80.9,  96.2
Plymouth - Cold Spring,02390005,      21.7,  97.2,  11.7 to 1,  75.1,  91.6
Plymouth - Federal Furnace School,02390011,      36.9,  97.3,  10.5 to 1,  79.7,  96.9
Plymouth - Hedge,02390010,      21.7, 100.0,   7.1 to 1,  70.8,  96.6
Plymouth - Indian Brook,02390012,      41.7, 100.0,  13.6 to 1,  80.5,  99.2
Plymouth - Manomet Elementary,02390015,      22.6,  95.6,  12.7 to 1,  74.7,  97.3
Plymouth - Nathaniel Morton Elementary,02390030,      44.5,  97.8,  12.3 to 1,  89.8,  96.6
Plymouth - Plymouth Commun Intermediate,02390405,      84.6, 100.0,  12.1 to 1,  87.7,  95.3
Plymouth - Plymouth Early Childhood Center,02390003,       9.0, 100.0,  15.6 to 1,  77.8, 100.0
Plymouth - Plymouth North High,02390505,     104.2,  98.7,  12.3 to 1,  77.0,  83.7
Plymouth - Plymouth South High,02390515,     105.5,  96.0,  10.4 to 1,  87.2,  90.4
Plymouth - Plymouth South Middle,02390305,      57.2, 100.0,  12.7 to 1,  95.1,  98.3
Plymouth - South Elementary,02390046,      50.1,  99.2,  13.0 to 1,  73.2,  95.6
Plymouth - West Elementary,02390047,      33.9, 100.0,  11.6 to 1,  83.1,  98.5
Plympton - Dennett Elementary,02400010,      18.3, 100.0,  11.3 to 1,  88.5, 100.0
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,     111.1,  81.6,  10.2 to 1,  49.9,  88.8
Provincetown - Provincetown Schools,02420020,      19.1, 100.0,   6.3 to 1,  80.6,  85.9
Quabbin - Hardwick Elementary,07530005,      13.2, 100.0,  14.7 to 1,  75.8, 100.0
Quabbin - Hubbardston Center,07530010,      19.3, 100.0,  16.5 to 1,  73.1,  94.8
Quabbin - IB School of Quabbin,07530515,       1.3, 100.0,   9.7 to 1, 100.0, 100.0
Quabbin - New Braintree Grade,07530020,       4.0, 100.0,  13.5 to 1,  95.0, 100.0
Quabbin - Oakham Center,07530025,       6.8, 100.0,  19.0 to 1,  97.1, 100.0
Quabbin - Quabbin Regional High School,07530505,      45.1, 100.0,  14.6 to 1,  86.7,  95.6
Quabbin - Quabbin Regional Middle School,07530405,      27.5,  96.4,  14.4 to 1,  96.4,  96.4
Quabbin - Ruggles Lane,07530030,      30.3, 100.0,  15.3 to 1,  82.8,  96.7
Quaboag Regional - Quaboag Regional High,07780505,      31.2,  96.8,  11.8 to 1,  85.9,  85.7
Quaboag Regional - Quaboag Regional Middle Innovation School,07780305,      17.7, 100.0,  13.4 to 1,  79.6,  85.7
Quaboag Regional - Warren Elementary,07780005,      36.4,  80.8,  12.2 to 1,  85.2,  94.5
Quaboag Regional - West Brookfield Elementary,07780010,      19.0,  94.7,  16.0 to 1,  84.2,  94.7
Quincy - Amelio Della Chiesa Early Childhood Center,02430005,      13.0, 100.0,  14.8 to 1,  84.6,  92.3
Quincy - Atherton Hough,02430040,      24.4,  95.9,  10.3 to 1,  82.8,  99.2
Quincy - Atlantic Middle,02430305,      33.4, 100.0,  14.9 to 1, 100.0,  97.0
Quincy - Beechwood Knoll Elementary,02430020,      25.5, 100.0,  13.8 to 1,  81.6, 100.0
Quincy - Broad Meadows Middle,02430310,      29.5,  96.6,  13.0 to 1,  79.8,  83.2
Quincy - Central Middle,02430315,      42.4, 100.0,  15.0 to 1,  95.3,  95.3
Quincy - Charles A Bernazzani Elementary,02430025,      23.0, 100.0,  14.4 to 1,  95.6,  95.6
Quincy - Clifford H Marshall Elementary,02430055,      43.2, 100.0,  13.1 to 1,  95.8,  95.8
Quincy - Francis W Parker,02430075,      27.3, 100.0,  11.5 to 1,  88.3,  95.6
Quincy - Lincoln-Hancock Community School,02430035,      39.2,  97.4,  13.2 to 1,  81.1,  99.0
Quincy - Merrymount,02430060,      22.9, 100.0,  15.2 to 1, 100.0, 100.0
Quincy - Montclair,02430065,      27.7, 100.0,  14.9 to 1,  91.6,  97.1
Quincy - North Quincy High,02430510,      88.4,  97.7,  13.8 to 1,  91.7,  94.3
Quincy - Point Webster Middle,02430325,      28.0, 100.0,  12.7 to 1,  72.5,  84.1
Quincy - Quincy High,02430505,     119.5,  99.2,  12.9 to 1,  88.5,  88.3
Quincy - Reay E Sterling Middle,02430320,      29.5, 100.0,  12.3 to 1,  85.6,  80.7
Quincy - Snug Harbor Community School,02430090,      34.8,  97.1,  13.3 to 1,  84.5,  84.5
Quincy - Squantum,02430095,      25.9, 100.0,  13.3 to 1,  96.1, 100.0
Quincy - Wollaston School,02430110,      23.7, 100.0,  14.0 to 1,  93.7,  91.6
Ralph C Mahar - Pathways Early College Innovation School,07550515,        .0, 100.0,###### to 1,   0.0, 100.0
Ralph C Mahar - Ralph C Mahar Regional,07550505,      59.6,  98.3,  10.8 to 1,  93.3,  95.0
Ralph C Mahar - The Gateway to College,07550525,        .0, 100.0,###### to 1,   0.0, 100.0
Randolph - Elizabeth G Lyons Elementary,02440020,      21.3, 100.0,  14.0 to 1,  84.7, 100.0
Randolph - J F Kennedy Elementary,02440018,      39.9, 100.0,  11.7 to 1,  87.5,  92.5
Randolph - Margaret L Donovan,02440015,      29.0, 100.0,  15.2 to 1,  79.3, 100.0
Randolph - Martin E Young Elementary,02440040,      27.8, 100.0,  11.1 to 1,  89.2, 100.0
Randolph - Randolph Community Middle,02440410,      58.5, 100.0,  10.3 to 1,  78.1,  79.5
Randolph - Randolph High,02440505,      60.7, 100.0,  11.7 to 1,  83.5,  91.8
Reading - Alice M Barrows,02460002,      24.2, 100.0,  15.6 to 1,  81.0,  91.7
Reading - Arthur W Coolidge Middle,02460305,      37.6, 100.0,  12.7 to 1,  85.4,  89.4
Reading - Birch Meadow,02460005,      30.6, 100.0,  12.1 to 1,  77.1,  96.7
Reading - J Warren Killam,02460017,      29.0, 100.0,  14.5 to 1,  86.7,  96.5
Reading - Joshua Eaton,02460010,      28.5, 100.0,  13.6 to 1,  84.6,  93.0
Reading - RISE PreSchool,02460001,       7.3, 100.0,  12.9 to 1,  91.8, 100.0
Reading - Reading Memorial High,02460505,      81.9, 100.0,  15.1 to 1,  89.9,  96.8
Reading - Walter S Parker Middle,02460310,      46.3, 100.0,  12.2 to 1,  91.4,  93.5
Reading - Wood End Elementary School,02460020,      20.3, 100.0,  14.3 to 1,  92.6, 100.0
Revere - A. C. Whelan Elementary School,02480003,      50.0, 100.0,  15.1 to 1,  82.0,  94.0
Revere - Abraham Lincoln,02480025,      42.0, 100.0,  16.5 to 1,  73.8,  92.9
Revere - Beachmont Veterans Memorial School,02480013,      31.1, 100.0,  12.0 to 1,  84.1,  95.7
Revere - Garfield Elementary School,02480056,      53.2, 100.0,  14.4 to 1,  86.8,  97.2
Revere - Garfield Middle School,02480057,      44.5, 100.0,  12.1 to 1,  70.8,  74.2
Revere - Paul Revere,02480050,      36.0, 100.0,  13.1 to 1,  80.6,  97.2
Revere - Revere High,02480505,     129.2,  97.7,  15.4 to 1,  81.9,  94.6
Revere - Rumney Marsh Academy,02480014,      48.2, 100.0,  12.4 to 1,  73.0,  85.5
Revere - Seacoast School,02480520,      13.0, 100.0,   6.3 to 1,  52.5,  79.5
Revere - Staff Sargent James J. Hill Elementary School,02480035,      45.5, 100.0,  15.6 to 1,  89.0,  93.4
Revere - Susan B. Anthony Middle School,02480305,      46.0, 100.0,  12.4 to 1,  80.4,  91.3
Richmond - Richmond Consolidated,02490005,      19.2,  97.9,   9.3 to 1,  99.0,  90.6
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,      61.0,  68.4,  10.8 to 1,  52.9,  82.0
River Valley Charter (District) - River Valley Charter School,04820050,      20.8,  91.3,  13.9 to 1,  75.8,  75.9
Rochester - Rochester Memorial,02500005,      38.1, 100.0,  13.1 to 1,  91.3,  99.2
Rockland - Jefferson Elementary School,02510060,      24.2,  97.9,  12.6 to 1,  69.8,  93.8
Rockland - John W Rogers Middle,02510305,      50.2, 100.0,  12.9 to 1,  78.5,  94.0
Rockland - Memorial Park,02510020,      26.1,  98.1,  10.8 to 1,  70.9,  98.1
Rockland - R Stewart Esten,02510025,      26.3, 100.0,  11.8 to 1,  74.4,  88.6
Rockland - Rockland Senior High,02510505,      47.0, 100.0,  13.7 to 1,  83.0,  89.8
Rockport - Rockport Elementary,02520005,      27.9, 100.0,  14.1 to 1,  89.2, 100.0
Rockport - Rockport High,02520510,      30.9,  99.1,   9.3 to 1,  79.0,  74.8
Rockport - Rockport Middle,02520305,      29.8,  96.0,   7.6 to 1,  76.8,  97.5
Rowe - Rowe Elementary,02530005,       8.0, 100.0,   8.9 to 1, 100.0, 100.0
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,04840505,     117.9,  55.7,  12.1 to 1,  22.8,  85.1
Sabis International Charter (District) - Sabis International Charter School,04410505,      66.0,  91.7,  23.8 to 1,  75.7,  77.1
Salem - Bates,02580003,      26.9,  99.4,  12.7 to 1,  79.0,  88.9
Salem - Carlton,02580015,      23.0,  99.6,  11.0 to 1,  56.0,  95.6
Salem - Collins Middle,02580305,      55.2, 100.0,   9.7 to 1,  75.6,  83.7
Salem - Horace Mann Laboratory,02580030,      25.2,  99.6,  10.8 to 1,  87.7,  98.0
Salem - Nathaniel Bowditch,02580025,      39.2,  96.9,   9.6 to 1,  47.5,  77.1
Salem - New Liberty Innovation School,02580510,       4.5, 100.0,  10.0 to 1,  22.2,  88.9
Salem - Salem Early Childhood,02580001,       7.0, 100.0,  13.3 to 1,  85.7, 100.0
Salem - Salem High,02580505,      97.8,  93.4,   9.4 to 1,  83.5,  92.8
Salem - Salem Prep High School,02580515,       5.6, 100.0,   4.6 to 1,  89.3, 100.0
Salem - Saltonstall School,02580050,      31.4,  99.4,  11.9 to 1,  96.2,  92.0
Salem - Witchcraft Heights,02580070,      41.5,  99.6,  11.0 to 1,  75.8, 100.0
Salem Academy Charter (District) - Salem Academy Charter School,04850485,      46.1,  75.6,  10.3 to 1,  54.4,  66.7
Sandwich - Forestdale School,02610002,      50.4,  98.0,  12.5 to 1,  79.8,  94.1
Sandwich - Oak Ridge,02610025,      57.5, 100.0,  14.3 to 1,  80.3,  94.8
Sandwich - Sandwich High,02610505,      53.9, 100.0,  12.4 to 1,  84.1,  86.4
Sandwich - Sandwich STEM Academy,02610305,      38.1, 100.0,  12.1 to 1,  83.6,  87.3
Saugus - Belmonte Saugus Middle,02620305,      54.8,  98.2,  11.9 to 1,  81.7,  87.2
Saugus - Douglas Waybright,02620067,      15.2, 100.0,  15.2 to 1,  97.8, 100.0
Saugus - Lynnhurst,02620040,      19.2, 100.0,  14.1 to 1,  98.3, 100.0
Saugus - Oaklandvale,02620050,      15.6, 100.0,  15.4 to 1,  85.1, 100.0
Saugus - Saugus High,02620505,      54.4, 100.0,  12.1 to 1,  93.5,  92.6
Saugus - Veterans Memorial,02620065,      42.3, 100.0,  12.8 to 1,  78.7,  95.3
Savoy - Emma L Miller Elementary School,02630010,       4.9, 100.0,  12.2 to 1,  68.3, 100.0
Scituate - Cushing Elementary,02640007,      27.5, 100.0,  11.3 to 1, 100.0, 100.0
Scituate - Gates Middle School,02640305,      58.2, 100.0,  12.4 to 1,  86.3,  94.8
Scituate - Hatherly Elementary,02640010,      29.3, 100.0,   9.2 to 1,  79.5,  95.9
Scituate - Jenkins Elementary School,02640015,      32.2, 100.0,  11.2 to 1,  89.8,  93.2
Scituate - Scituate High School,02640505,      65.0,  99.4,  14.2 to 1,  85.8,  94.8
Scituate - Wampatuck Elementary,02640020,      32.3, 100.0,  12.4 to 1,  85.1,  99.7
